,Year,Player,Pos,,Tm,G,,,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23586,2016,Kobe Bryant,SF,,LAL,66,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,41,206,247,184,62,13,129,115,1161
23778,2016,Kyrie Irving,PG,,CLE,53,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,44,113,157,249,56,18,124,107,1041
23781,2016,LeBron James,SF,,CLE,76,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731,111,454,565,514,104,49,249,143,1920
23804,2016,Nikola Jokic,C,,DEN,80,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811,181,379,560,189,79,50,104,208,796
23689,2016,Pau Gasol,C,,CHI,72,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.792,155,638,793,294,42,146,164,148,1187
23692,2016,Paul George,SF,,IND,81,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,79,484,563,329,152,29,265,230,1874
23944,2016,Paul Pierce,SF,,LAC,68,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818,12,174,186,71,33,17,58,129,417
23633,2016,Stephen Curry,PG,,GSW,79,,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,68,362,430,527,169,15,262,161,2375
23652,2016,Tim Duncan,C,,SAS,61,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702,115,332,447,163,47,78,90,125,522
23665,2016,Tyreke Evans,SG,,NOP,25,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796,20,109,129,164,32,8,73,66,379
23928,2016,Victor Oladipo,SG,,ORL,72,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,48,297,345,282,116,54,153,174,1153
23602,2016,Vince Carter,SG,,MEM,60,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,31,115,146,56,38,16,35,101,395
24154,2017,Andrew Bogut,C,32,TOT,27,21,583,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,,-0.3,1,0.7,0.055,,-5.6,5.3,-0.3,0.3,38,81,0.469,0,1,0,38,80,0.475,0.469,3,11,0.273,56,162,218,49,13,25,43,86,79
24421,2017,Damian Lillard,PG,26,POR,75,75,2694,24.1,0.586,0.388,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,,8.8,1.5,10.3,0.184,,6.4,-2,4.3,4.3,661,1488,0.444,214,578,0.37,447,910,0.491,0.516,488,545,0.895,46,322,368,439,68,20,197,152,2024
24617,2017,Klay Thompson,SG,26,GSW,78,78,2649,17.4,0.592,0.47,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8,26.1,,4.2,2.9,7.1,0.128,,2.4,-2.1,0.3,1.5,644,1376,0.468,268,647,0.414,376,729,0.516,0.565,186,218,0.853,49,236,285,160,66,40,128,139,1742
24239,2017,Kevin Durant,SF,28,GSW,62,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,,8,4,12,0.277,,5.4,2.6,8,5.2,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555
